26281;45.0550;5.0383
94079;48.8262;2.5455
03185;46.3299;2.6029
58194;46.9644;3.1746
62498;50.4356;2.8203
94073;48.7608;2.3856
33449;44.9057;-0.7931
47001;44.2024;0.6258
78423;48.7796;2.0299
94052;48.8364;2.4820
73008;45.7110;5.9421
88160;48.1845;6.4853
06123;43.6866;7.1823
97610;-12.7726;45.1909
95500;49.0836;2.1070
33039;44.8017;-0.5482
78490;48.8126;1.9467
95306;49.0083;2.1543
38544;45.5475;4.9063
84031;44.0592;5.0611
40192;43.8996;-0.4904
28134;48.7484;1.3600
91657;48.7040;2.4277
69286;45.8206;4.8986
95280;49.0403;2.4573
91521;48.6457;2.4088
94038;48.7761;2.3367
77445;48.5856;2.5631
59122;50.1534;3.1968
94016;48.7912;2.3317
86066;46.8252;0.5759
97103;16.2515;-61.5922
91687;48.6700;2.3737
78158;48.8292;2.1205
06083;43.8073;7.4779
78146;48.8965;2.1534
92046;48.8166;2.2961
92035;48.9070;2.2449
31557;43.5784;1.3349
38053;45.5640;5.2955
91201;48.6780;2.4212
62510;50.4243;2.7729
95680;49.0015;2.4075
54547;48.6573;6.1646
34003;43.3094;3.4845
69275;45.7718;4.9615
92064;48.8429;2.2083
93077;48.8845;2.5091
78297;48.7730;2.0761
84087;44.1461;4.8087
94034;48.7570;2.3258
76575;49.3814;1.0901
95219;48.9883;2.2563
93014;48.9081;2.5456
06155;43.5767;7.0580
24322;45.1922;0.7114
76681;49.4111;1.0958
92009;48.9157;2.2673
92060;48.7805;2.2598
94018;48.8224;2.4081
59392;50.3120;3.9895
93047;48.8981;2.5670
92075;48.8218;2.2874
44190;47.2032;-1.4998
44114;47.2743;-1.6233
76217;49.9220;1.0870
02722;49.3519;3.3202
91691;48.7165;2.4933
67218;48.5200;7.7317
94071;48.7657;2.5335
97113;16.2252;-61.4694
78517;48.6165;1.8599
97309;4.8842;-52.2792
95277;48.9856;2.4553
31069;43.6598;1.3199
95607;49.0268;2.2220
33529;44.5563;-1.1752
77058;48.8362;2.7323
